Order,MSE,RMSE,MAE,RÂ² Score
1,0.5365853658536586,0.7325198740332296,0.5365853658536586,0.9993213880374223
2,0.5365853658536586,0.7325198740332296,0.5365853658536586,0.9993213880374223
3,0.5365853658536586,0.7325198740332296,0.5365853658536586,0.9993213880374223
4,0.5365853658536586,0.7325198740332296,0.5365853658536586,0.9993213880374223
5,0.5365853658536586,0.7325198740332296,0.5365853658536586,0.9993213880374223
6,0.5365853658536586,0.7325198740332296,0.5365853658536586,0.9993213880374223
7,0.5365853658536586,0.7325198740332296,0.5365853658536586,0.9993213880374223
8,0.5365853658536586,0.7325198740332296,0.5365853658536586,0.9993213880374223
9,0.5365853658536586,0.7325198740332296,0.5365853658536586,0.9993213880374223
10,0.5365853658536586,0.7325198740332296,0.5365853658536586,0.9993213880374223
11,0.5365853658536586,0.7325198740332296,0.5365853658536586,0.9993213880374223
12,0.5365853658536586,0.7325198740332296,0.5365853658536586,0.9993213880374223
13,0.5365853658536586,0.7325198740332296,0.5365853658536586,0.9993213880374223
14,0.5365853658536586,0.7325198740332296,0.5365853658536586,0.9993213880374223
15,0.5365853658536586,0.7325198740332296,0.5365853658536586,0.9993213880374223
16,0.5365853658536586,0.7325198740332296,0.5365853658536586,0.9993213880374223
17,0.5365853658536586,0.7325198740332296,0.5365853658536586,0.9993213880374223
